痹	4125|bi4
滗	_331|bi4
裨	4532|pi2,bi4
碧	1113|bi4
蔽	_543|bi4
馝	3145|bi4
箅	3125|bi4
弊	4313|bi4
薜	_551|bi4
觱	1335|bi4
篦	3132|bi4
壁	51_4|bi4
避	5145|bi4
嬖	5153|bi4
髀	2532|bi4
濞	_332|bi4
臂	5123|bi4,bei5
璧	5111|bi4
襞	5141|bi4
边	5345|bian1
砭	1334|bian1
笾	3153|bian1
萹	_545|bian1,bian3
编	5545|bian1
煸	4345|bian1
蝙	2545|bian1
鳊	3545|bian1
鞭	1224|bian1
贬	2534|bian3
扁	4525|bian3,pian1
匾	1545|bian3
碥	1345|bian3
褊	4545|bian3
卞	41_4|bian4
弁	5413|bian4
抃	4241|bian4
苄	_541|bian4
汴	_341|bian4
忭	4441|bian4
𨚕	5452|bian4
变	4154|bian4
昪	2254|bian4
便	2412|bian4,pian2
遍	4545|bian4
辨	4143|bian4
辩	4145|bian4
辫	4155|bian4
杓	_235|biao1,shao2
标	_211|biao1
飑	3535|biao1
骉	5555|biao1
彪	2133|biao1
脿	2311|biao3
摽	4212|biao4,biao1
蔈	_512|piao4
幖	2512|biao1
骠	5512|biao1,piao4
膘	2312|biao1
熛	4312|biao1
飙	1335|biao1
镖	_112|biao1
瘭	4112|biao1
儦	2441|biao1
藨	_541|biao1
瀌	_341|biao1
镳	_141|biao1
表	1135|biao3
婊	5311|biao3
裱	4511|biao3
俵	2411|biao4
鳔	3512|biao4
憋	4345|bie1
鳖	4335|bie1
癿	32_5|bie2
别	1422|bie2,bie4
咇	1445|bi4
蹩	4314|bie2
瘪	4132|bie3,bie1
邠	3452|bin1
玢	1134|bin1,fen1
宾	4432|bin1
彬	_233|bin1
傧	2444|bin1
斌	4111|bin1
滨	_344|bin1
缤	5544|bin1
槟	_244|bin1,bing1
镔	_144|bin1
濒	_321|bin1
豳	2513|bin1
摈	4244|bin4
殡	1344|bin4
膑	2344|bin4
髌	2544|bin4
鬓	1244|bin4
冰	41_3|bing1
兵	3234|bing1
丙	12_4|bing3
邴	1252|bing3
秉	31_4|bing3
柄	_212|bing3
昺	2212|bing3
饼	3543|bing3
炳	4312|bing3
蛃	2512|bing3
禀	4111|bing3
并	4311|bing4,bing1
病	4112|bing4
摒	4251|bing4
拨	4253|bo1
波	_353|bo1
玻	1153|bo1
砵	1312|bo1
哱	1412|bo1
钵	_112|bo1
饽	3512|bo1
剥	5122|bo1,bao1
菠	_5_3|bo1
𬭛	_1_3|bo1
播	4234|bo1
嶓	2534|bo1
伯	2432|bo2,bai3
驳	5534|bo2
帛	3225|bo2
勃	1253|bo2
钹	_113|bo2
铂	_132|bo2
亳	4131|bo2
浡	_312|bo2
袯	4553|bo2
舶	3332|bo2
脖	2312|bo2
